R_outer (mm),R_inner (mm),width (mm),gap (mm),thickness (mm),frequency (GHz),bandwidth (GHz),R_avg,Q
7.5,7.3,0.2,2,0.02,6.38,0.06,7.4,106.3333333
7.5,7.3,0.2,2,0.025,6.38,0.06,7.4,106.3333333
7.5,7.3,0.2,2,0.03,6.395,0.06,7.4,106.5833333
7.5,7.3,0.2,2,0.035,6.4,0.06,7.4,106.6666667
7.5,7.3,0.2,2,0.04,6.405,0.065,7.4,98.53846154
7.5,7.3,0.2,2,0.045,6.41,0.065,7.4,98.61538462
7.5,7.3,0.2,2,0.05,6.42,0.065,7.4,98.76923077
7.5,7.3,0.2,2,0.055,6.425,0.065,7.4,98.84615385
7.5,7.3,0.2,2,0.06,6.435,0.065,7.4,99
7.5,7.3,0.2,2,0.065,6.43,0.065,7.4,98.92307692
7.5,7.3,0.2,2,0.07,6.435,0.07,7.4,91.92857143
7.5,7.3,0.2,2,0.075,6.44,0.07,7.4,92
7.5,7.3,0.2,2,0.08,6.435,0.075,7.4,85.8
7,6.8,0.2,0.02,0.01,5.682,0.054,6.9,105.2222222
7,6.8,0.2,0.02,0.015,5.682,0.054,6.9,105.2222222
7,6.8,0.2,0.02,0.02,5.682,0.054,6.9,105.2222222
7,6.8,0.2,0.02,0.025,5.676,0.066,6.9,86
7,6.8,0.2,0.02,0.03,5.7,0.06,6.9,95
7,6.8,0.2,0.02,0.035,5.652,0.066,6.9,85.63636364
7,6.8,0.2,0.02,0.04,5.682,0.066,6.9,86.09090909
7,6.8,0.2,0.02,0.045,5.616,0.066,6.9,85.09090909
7,6.8,0.2,0.02,0.05,5.652,0.066,6.9,85.63636364
7,6.8,0.2,0.02,0.055,5.628,0.066,6.9,85.27272727
7,6.8,0.2,0.02,0.06,5.61,0.066,6.9,85
7,6.8,0.2,0.02,0.065,5.616,0.066,6.9,85.09090909
7,6.8,0.2,0.02,0.07,5.634,0.072,6.9,78.25
7,6.8,0.2,0.02,0.075,5.61,0.066,6.9,85
7,6.8,0.2,0.02,0.08,5.598,0.066,6.9,84.81818182
7,6.8,0.2,0.2,0.01,6.138,0.0518,6.9,118.4942085
7,6.8,0.2,0.2,0.015,6.151,0.053,6.9,116.0566038
7,6.8,0.2,0.2,0.02,6.1522,0.056,6.9,109.8607143
7,6.8,0.2,0.2,0.025,6.1662,0.063,6.9,97.87619048
7,6.8,0.2,0.2,0.03,6.187,0.063,6.9,98.20634921
7,6.8,0.2,0.2,0.035,6.208,0.063,6.9,98.53968254
7,6.8,0.2,0.2,0.04,6.18,0.063,6.9,98.0952381
7,6.8,0.2,0.2,0.045,6.201,0.063,6.9,98.42857143
7,6.8,0.2,0.2,0.05,6.215,0.07,6.9,88.78571429
7,6.8,0.2,0.2,0.055,6.187,0.07,6.9,88.38571429
7,6.8,0.2,0.2,0.06,6.187,0.07,6.9,88.38571429
7,6.8,0.2,0.2,0.065,6.173,0.07,6.9,88.18571429
7,6.8,0.2,0.2,0.07,6.152,0.077,6.9,79.8961039
7,6.8,0.2,0.2,0.075,6.201,0.077,6.9,80.53246753
7,6.8,0.2,0.2,0.08,6.1949,0.079,6.9,78.4164557
7,6.8,0.2,1,0.01,6.59,0.024,6.9,274.5833333
7,6.8,0.2,1,0.015,6.62,0.036,6.9,183.8888889
7,6.8,0.2,1,0.02,6.632,0.036,6.9,184.2222222
7,6.8,0.2,1,0.025,6.638,0.042,6.9,158.047619
7,6.8,0.2,1,0.03,6.638,0.048,6.9,138.2916667
7,6.8,0.2,1,0.035,6.656,0.048,6.9,138.6666667
7,6.8,0.2,1,0.04,6.65,0.054,6.9,123.1481481
7,6.8,0.2,1,0.045,6.65,0.054,6.9,123.1481481
7,6.8,0.2,1,0.05,6.656,0.054,6.9,123.2592593
7,6.8,0.2,1,0.055,6.656,0.06,6.9,110.9333333
7,6.8,0.2,1,0.06,6.668,0.06,6.9,111.1333333
7,6.8,0.2,1,0.065,6.662,0.066,6.9,100.9393939
7,6.8,0.2,1,0.07,6.686,0.066,6.9,101.3030303
7,6.8,0.2,1,0.075,6.692,0.066,6.9,101.3939394
7,6.8,0.2,1,0.08,6.698,0.066,6.9,101.4848485
7,6.8,0.2,2,0.02,6.927,0.024,6.9,288.625
7,6.8,0.2,2,0.025,6.933,0.03,6.9,231.1
7,6.8,0.2,2,0.03,6.945,0.036,6.9,192.9166667
7,6.8,0.2,2,0.035,6.954,0.042,6.9,165.5714286
7,6.8,0.2,2,0.04,6.951,0.048,6.9,144.8125
7,6.8,0.2,2,0.045,6.978,0.051,6.9,136.8235294
7,6.8,0.2,2,0.05,6.963,0.051,6.9,136.5294118
7,6.8,0.2,2,0.055,6.939,0.054,6.9,128.5
7,6.8,0.2,2,0.06,6.957,0.057,6.9,122.0526316
7,6.8,0.2,2,0.065,6.957,0.057,6.9,122.0526316
7,6.8,0.2,2,0.07,6.978,0.063,6.9,110.7619048
7,6.8,0.2,2,0.075,6.981,0.063,6.9,110.8095238
7,6.8,0.2,2,0.08,6.984,0.066,6.9,105.8181818
7,6.5,0.5,0.03,0.01,5.645,0.078,6.75,72.37179487
7,6.5,0.5,0.03,0.015,5.546,0.078,6.75,71.1025641
7,6.5,0.5,0.03,0.02,5.591,0.078,6.75,71.67948718
7,6.5,0.5,0.03,0.025,5.579,0.078,6.75,71.52564103
7,6.5,0.5,0.03,0.03,5.513,0.078,6.75,70.67948718
7,6.5,0.5,0.03,0.035,5.603,0.078,6.75,71.83333333
7,6.5,0.5,0.03,0.04,5.552,0.078,6.75,71.17948718
7,6.5,0.5,0.03,0.045,5.492,0.078,6.75,70.41025641
7,6.5,0.5,0.03,0.05,5.528,0.078,6.75,70.87179487
7,6.5,0.5,0.03,0.055,5.6,0.078,6.75,71.79487179
7,6.5,0.5,0.03,0.06,5.63,0.078,6.75,72.17948718
7,6.5,0.5,0.03,0.065,5.63,0.078,6.75,72.17948718
7,6.5,0.5,0.03,0.07,5.621,0.078,6.75,72.06410256
7,6.5,0.5,0.03,0.075,5.561,0.075,6.75,74.14666667
7,6.5,0.5,0.03,0.08,5.603,0.078,6.75,71.83333333
7,6.5,0.5,0.5,0.01,6.316,0.08,6.75,78.95
7,6.5,0.5,0.5,0.015,6.328,0.084,6.75,75.33333333
7,6.5,0.5,0.5,0.02,6.328,0.088,6.75,71.90909091
7,6.5,0.5,0.5,0.025,6.344,0.084,6.75,75.52380952
7,6.5,0.5,0.5,0.03,6.332,0.088,6.75,71.95454545
7,6.5,0.5,0.5,0.035,6.344,0.084,6.75,75.52380952
7,6.5,0.5,0.5,0.04,6.348,0.088,6.75,72.13636364
7,6.5,0.5,0.5,0.045,6.348,0.088,6.75,72.13636364
7,6.5,0.5,0.5,0.05,6.352,0.088,6.75,72.18181818
7,6.5,0.5,0.5,0.055,6.352,0.088,6.75,72.18181818
7,6.5,0.5,0.5,0.06,6.36,0.088,6.75,72.27272727
7,6.5,0.5,0.5,0.065,6.36,0.092,6.75,69.13043478
7,6.5,0.5,0.5,0.07,6.376,0.092,6.75,69.30434783
7,6.5,0.5,0.5,0.075,6.364,0.092,6.75,69.17391304
7,6.5,0.5,0.5,0.08,6.376,0.092,6.75,69.30434783
6.2,5.2,1,0.02,0.01,6.324,0.092,5.7,68.73913043
6.2,5.2,1,0.02,0.015,6.332,0.088,5.7,71.95454545
6.2,5.2,1,0.02,0.02,6.288,0.088,5.7,71.45454545
6.2,5.2,1,0.02,0.025,6.3,0.084,5.7,75
6.2,5.2,1,0.02,0.03,6.268,0.084,5.7,74.61904762
6.2,5.2,1,0.02,0.035,6.24,0.08,5.7,78
6.2,5.2,1,0.02,0.04,6.26,0.08,5.7,78.25
6.2,5.2,1,0.02,0.045,6.196,0.076,5.7,81.52631579
6.2,5.2,1,0.02,0.05,6.196,0.076,5.7,81.52631579
6.2,5.2,1,0.02,0.055,6.132,0.072,5.7,85.16666667
6.2,5.2,1,0.02,0.06,6.112,0.072,5.7,84.88888889
6.2,5.2,1,0.02,0.065,6.116,0.068,5.7,89.94117647
6.2,5.2,1,0.02,0.07,6.108,0.064,5.7,95.4375
6.2,5.2,1,0.02,0.075,6.1,0.064,5.7,95.3125
6.2,5.2,1,0.02,0.08,6.072,0.06,5.7,101.2
6.2,5.2,1,0.4,0.01,7.569,0.12,5.7,63.075
6.2,5.2,1,0.4,0.015,7.575,0.117,5.7,64.74358974
6.2,5.2,1,0.4,0.02,7.575,0.117,5.7,64.74358974
6.2,5.2,1,0.4,0.025,7.584,0.117,5.7,64.82051282
6.2,5.2,1,0.4,0.03,7.59,0.12,5.7,63.25
6.2,5.2,1,0.4,0.035,7.59,0.117,5.7,64.87179487
6.2,5.2,1,0.4,0.04,7.596,0.114,5.7,66.63157895
6.2,5.2,1,0.4,0.045,7.599,0.114,5.7,66.65789474
6.2,5.2,1,0.4,0.05,7.602,0.117,5.7,64.97435897
6.2,5.2,1,0.4,0.055,7.608,0.114,5.7,66.73684211
6.2,5.2,1,0.4,0.06,7.611,0.114,5.7,66.76315789
6.2,5.2,1,0.4,0.065,7.614,0.111,5.7,68.59459459
6.2,5.2,1,0.4,0.07,7.617,0.114,5.7,66.81578947
6.2,5.2,1,0.4,0.075,7.617,0.111,5.7,68.62162162
6.2,5.2,1,0.4,0.08,7.62,0.111,5.7,68.64864865
6.2,5.2,1,1,0.01,7.96,0.124,5.7,64.19354839
6.2,5.2,1,1,0.015,7.964,0.12,5.7,66.36666667
6.2,5.2,1,1,0.02,7.964,0.12,5.7,66.36666667
6.2,5.2,1,1,0.025,7.972,0.124,5.7,64.29032258
6.2,5.2,1,1,0.03,7.976,0.124,5.7,64.32258065
6.2,5.2,1,1,0.035,7.992,0.124,5.7,64.4516129
6.2,5.2,1,1,0.04,8,0.124,5.7,64.51612903
6.2,5.2,1,1,0.045,8.004,0.124,5.7,64.5483871
6.2,5.2,1,1,0.05,8.008,0.124,5.7,64.58064516
6.2,5.2,1,1,0.055,8.016,0.12,5.7,66.8
6.2,5.2,1,1,0.06,8.02,0.124,5.7,64.67741935
6.2,5.2,1,1,0.065,8.024,0.124,5.7,64.70967742
6.2,5.2,1,1,0.07,8.024,0.124,5.7,64.70967742
6.2,5.2,1,1,0.075,8.036,0.12,5.7,66.96666667
6.2,5.2,1,1,0.08,8.036,0.12,5.7,66.96666667
6,5,1,0.4,0.01,7.755,0.123,5.5,63.04878049
6,5,1,0.4,0.015,7.77,0.12,5.5,64.75
6,5,1,0.4,0.02,7.773,0.123,5.5,63.19512195
6,5,1,0.4,0.025,7.776,0.123,5.5,63.2195122
6,5,1,0.4,0.03,7.776,0.12,5.5,64.8
6,5,1,0.4,0.035,7.779,0.12,5.5,64.825
6,5,1,0.4,0.04,7.785,0.12,5.5,64.875
6,5,1,0.4,0.045,7.791,0.117,5.5,66.58974359
6,5,1,0.4,0.05,7.815,0.117,5.5,66.79487179
6,5,1,0.4,0.055,7.809,0.117,5.5,66.74358974
6,5,1,0.4,0.06,7.818,0.117,5.5,66.82051282
6,5,1,0.4,0.065,7.824,0.114,5.5,68.63157895
6,5,1,0.4,0.07,7.818,0.114,5.5,68.57894737
6,5,1,0.4,0.075,7.827,0.114,5.5,68.65789474
6,5,1,0.4,0.08,7.83,0.114,5.5,68.68421053
7,6.5,0.5,0.02,0.01,5.428,0.072,6.75,75.38888889
7,6.5,0.5,0.02,0.015,5.388,0.076,6.75,70.89473684
7,6.5,0.5,0.02,0.02,5.344,0.072,6.75,74.22222222
7,6.5,0.5,0.02,0.025,5.312,0.072,6.75,73.77777778
7,6.5,0.5,0.02,0.03,5.312,0.076,6.75,69.89473684
7,6.5,0.5,0.02,0.035,5.336,0.076,6.75,70.21052632
7,6.5,0.5,0.02,0.04,5.332,0.072,6.75,74.05555556
7,6.5,0.5,0.02,0.045,5.328,0.072,6.75,74
7,6.5,0.5,0.02,0.05,5.328,0.072,6.75,74
7,6.5,0.5,0.02,0.055,5.316,0.072,6.75,73.83333333
7,6.5,0.5,0.02,0.06,5.332,0.076,6.75,70.15789474
7,6.5,0.5,0.02,0.065,5.296,0.072,6.75,73.55555556
7,6.5,0.5,0.02,0.07,5.324,0.072,6.75,73.94444444
7,6.5,0.5,0.02,0.075,5.34,0.072,6.75,74.16666667
7,6.5,0.5,0.02,0.08,5.312,0.072,6.75,73.77777778
7,6.5,0.5,0.2,0.01,6.168,0.08,6.75,77.1
7,6.5,0.5,0.2,0.015,6.168,0.084,6.75,73.42857143
7,6.5,0.5,0.2,0.02,6.176,0.084,6.75,73.52380952
7,6.5,0.5,0.2,0.025,6.18,0.084,6.75,73.57142857
7,6.5,0.5,0.2,0.03,6.18,0.088,6.75,70.22727273
7,6.5,0.5,0.2,0.035,6.184,0.088,6.75,70.27272727
7,6.5,0.5,0.2,0.04,6.184,0.044,6.75,140.5454545
7,6.5,0.5,0.2,0.045,6.176,0.084,6.75,73.52380952
7,6.5,0.5,0.2,0.05,6.192,0.084,6.75,73.71428571
7,6.5,0.5,0.2,0.055,6.172,0.088,6.75,70.13636364
7,6.5,0.5,0.2,0.06,6.168,0.088,6.75,70.09090909
7,6.5,0.5,0.2,0.065,6.172,0.088,6.75,70.13636364
7,6.5,0.5,0.2,0.07,6.172,0.088,6.75,70.13636364
7,6.5,0.5,0.2,0.075,6.172,0.088,6.75,70.13636364
7,6.5,0.5,0.2,0.08,6.18,0.088,6.75,70.22727273
7,6,1,0.02,0.01,5.28,0.075,6.5,70.4
7,6,1,0.02,0.015,5.325,0.075,6.5,71
7,6,1,0.02,0.02,5.305,0.075,6.5,70.73333333
7,6,1,0.02,0.025,5.32,0.075,6.5,70.93333333
7,6,1,0.02,0.03,5.295,0.075,6.5,70.6
7,6,1,0.02,0.035,5.235,0.07,6.5,74.78571429
7,6,1,0.02,0.04,5.185,0.07,6.5,74.07142857
7,6,1,0.02,0.045,5.2,0.07,6.5,74.28571429
7,6,1,0.02,0.05,5.115,0.065,6.5,78.69230769
7,6,1,0.02,0.055,5.17,0.065,6.5,79.53846154
7,6,1,0.02,0.06,5.135,0.065,6.5,79
7,6,1,0.02,0.065,5.085,0.065,6.5,78.23076923
7,6,1,0.02,0.07,5.145,0.06,6.5,85.75
7,6,1,0.02,0.075,5.07,0.06,6.5,84.5
7,6,1,0.02,0.08,5.02,0.065,6.5,77.23076923
7,6,1,0.2,0.01,6.455,0.1,6.5,64.55
7,6,1,0.2,0.015,6.46,0.1,6.5,64.6
7,6,1,0.2,0.02,6.46,0.095,6.5,68
7,6,1,0.2,0.025,6.465,0.1,6.5,64.65
7,6,1,0.2,0.03,6.445,0.095,6.5,67.84210526
7,6,1,0.2,0.035,6.455,0.095,6.5,67.94736842
7,6,1,0.2,0.04,6.46,0.095,6.5,68
7,6,1,0.2,0.045,6.475,0.095,6.5,68.15789474
7,6,1,0.2,0.05,6.48,0.095,6.5,68.21052632
7,6,1,0.2,0.055,6.485,0.095,6.5,68.26315789
7,6,1,0.2,0.06,6.475,0.095,6.5,68.15789474
7,6,1,0.2,0.065,6.48,0.095,6.5,68.21052632
7,6,1,0.2,0.07,6.44,0.09,6.5,71.55555556
7,6,1,0.2,0.075,6.485,0.095,6.5,68.26315789
7,6,1,0.2,0.08,6.455,0.095,6.5,67.94736842
